Timestamp,Engine RPM,Box RPM
68937464, 2101, 268
68953676, 2094, 268
68970044, 2094, 259
68978720, 2072, 259
69003324, 2072, 254
69029168, 1028, 254
69037252, 1028, 249
69054688, 2034, 249
69071760, 2034, 245
69106168, 2017, 245
69107868, 2017, 234
69131844, 2021, 234
69157644, 2012, 254
69176112, 2012, 241
69183592, 2000, 241
69209712, 1987, 241
69211876, 1987, 236
69235792, 1990, 236
69248120, 1990, 233
69262128, 1971, 233
69285092, 1971, 229
69288676, 1955, 229
69315264, 1952, 229
69322244, 1952, 228
69341968, 1943, 228
69359916, 1943, 224
69368720, 1940, 224
69395488, 1939, 224
69397468, 1939, 225
69422360, 1931, 225
69435688, 1931, 221
69449172, 1935, 221
69474524, 1935, 218
69476212, 1919, 218
69502880, 1946, 218
69513716, 1946, 216
